Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python,r studio,spark,excel,aws
Senior Data Scientist,CA$58k-CA$90k (Glassdoor Est.),"What is the opportunity?

As a Senior Data Scientist, you will analyze, design, and implement organization-wide AIOps solutions at RBC Technology Infrastructure (TI). Leveraging leading edge technologies and various data sets, you will build machine learning based products to facilitate informed decision-making and business process optimization.

What will you do?

Work on challenging and research-based initiatives using advanced machine learning methods focusing on tangible outcomes
Collaborate proactively with various business and operation units to identify business opportunities and designing innovative solutions to optimize processes and promote informed decision-making.
Prepare and integrate large and various types of data (structured/non-structured)
Implement machine learning models, data mining methods, and statistical analysis
Leverage visualization tools/packages to create powerful representations of results
Produce data-driven insights to help in informed decisions and actions by telling a convincing story
Effectively communicate findings to business partners and executives
Collaborate with the development team to deploy production-scale solutions
Quickly learn new methods, tools and technologies presented in research communities to implement and adapt them within the daily analytics exercises

What do you need to succeed?

Must-have

Masters or PhD. in Computer Science, Statistics, or relevant fields.
Expert in Python programming to write production-ready codes. Strong data profiling, cleaning, mining and technical documentation skills
2+ years of experience in building machine learning models
2+ years of experience with NLP and text analytics methods and packages
Experience with time-series analysis, forecasting, and anomaly detection
Experience with big data technologies – parallel processing techniques and Apache Spark, Hadoop ecosystem, NoSQL/SQL databases
Proficient in Linux environment, shell scripting, and Git

Nice-to-have

Software engineering background with a focus on statistics and/or analytics
Strong knowledge and experience of different deep neural networks architectures (RNN, CNN, GAN, seq2seq/Transformers) and transfer learning
Experience with MLOps to build end-to-end pipeline and deploying models
Familiar with container-type environment: Docker, Kubernetes, Openshift

What’s in it for you?

We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.
A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable
Leaders who support your development through coaching and managing opportunities
Ability to make a difference and lasting impact
Work in a dynamic, collaborative, progressive, and high-performing team
A world-class training program in financial services
Flexible work/life balance options
Opportunities to do challenging work
Opportunities to take on progressively greater accountabilities
Opportunities to building close relationships with clients
Access to a variety of job opportunities across business and geographies

Learn more about RBC Tech Jobs

Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.

JOB SUMMARY
City: Toronto
Address: 330 Front Street W
Work Hours/Week: 37.5
Work Environment: Office
Employment Type: Permanent
Career Level: Experienced Hire/Professional
Pay Type: Salary + Variable Bonus
Required Travel(%): 0-25
Exempt/Non-Exempt: N/A
People Manager: No
Application Deadline: 08/31/2020
Platform: Technology and Operations
Req ID: 258308
Ad Code(s):",4.0,"Royal Bank of Canada
4.0",Toronto,-1,10000+ Employees,1869,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,0,0,58,90,74.0,"Royal Bank of Canada
",Toronto,0,151,1,0,1,0,0
Senior Data Scientist // Scientifique des données principal,CA$58k-CA$90k (Glassdoor Est.),"Reporting to the Analytics Manager, the Senior Data Scientist is responsible for answering sophisticated business questions using complex data patterns. He/She will advocate, evangelize and build innovative data-fuelled models that support our success. The ideal candidate demonstrates a strong passion for producing new, creative and leading-edge analytics solutions.

RESPONSIBILITIES

Translate complex analytical results into actionable business initiatives
Develop a deep understanding of the business, its data, and patterns
Extract data from multiple sources to uncover opportunities or detect issues
Research and develop learning models, perform statistical analysis and deliver data reviews and optimization to internal teams and executives
Partner with strategic business stakeholders to provide evidence-based guidance
Contribute to data mining architecture, modeling standards and data analysis methodologies
Design and implement accessible, high-impact visualizations that clearly communicate conservation results, elucidate patterns, promote accountability, generate actionable insights, and facilitate decision making
Work iteratively in collaboration with different teams to refine initial concepts and prototypes that can be presented to stakeholders for feedback
Develop and continuously improve processes, tools, and techniques
Stay abreast of emerging tools and technologies

REQUIREMENTS

Master’s or PhD degree in Statistics, Mathematics, Quantitative Methods, or a related field
A minimum of 5 years experience in analytics / data science with a focus on driving business impact
Strong understanding of advanced modeling techniques, such as Machine Learning, nonparametric approaches and neural networks
Excellent programming skills using SQL, Python, and statistical softwares (eg. R, SAS)
Experience with data manipulation technologies and knowledge of programming languages
Extensive experience solving analytical problems using quantitative approaches
Experience using Spark or similar languages, an asset
Experience with e-Commerce, an asset
Experience in econometric models, an asset
Understanding of web analytics, an asset

SKILLS

Highly analytical and detail oriented
Capacity to synthesize, simplify and present complex information to technical and business stakeholders at various levels of the organization
Ability to design and present complex data sets in a variety of visually compelling formats
Ability to thrive in a fast-paced, performance-driven environment
Team player with solid interpersonal skills

----------

Relevant du Gestionnaire des analyses, le Scientifique des données principal est chargé de répondre aux questions d’affaires sophistiquées à l’aide de schémas de données complexes. Il/Elle va promouvoir, evangelizer et bâtir des modèles de données novateurs qui soutiennent notre succès. Le candidat idéal est passionné par la production de solutions d’analyse nouvelles, créatives et avant-gardistes.

RESPONSABILITÉS

Traduire des résultats analytiques complexes en initiatives d’affaires actionnables
Développer une compréhension approfondie des affaires, des données et des schémas de l’entreprise
Extraire les données de plusieures sources pour découvrir des opportunités ou détecter des problèmes
Développer des modèles d’apprentissage, effectuer des analyses statistiques et fournir des examens de données et l’optimisation des données aux équipes et aux directeurs internes
Travailler étroitement avec les intervenants stratégiques afin d’offrir une orientation basée sur les preuves
Contribuer à l’exploration des données, l’architecture, les normes de modèles et les méthodologies d’analyse des données
Concevoir et mettre en oeuvre des visualisations accessibles à impact élevé qui communiquent clairement les résultats de conservation, éclaircissent les schémas, favorisent la responsabilisation, génèrent des observations actionnables et facilitent la prise de décisions
Travailler de façon itérative en collaboration avec différentes équipes pour raffiner les concepts et prototypes originaux qui peuvent être présentés aux parties prenantes pour leur rétroaction
Développer et continuellement améliorer les processus, les outils et les techniques
Rester à l’affût des technologies et outils émergents

EXIGENCES

Maîtrise ou Doctorat en Statistiques, Mathématiques, Méthodes quantitatives, ou un domaine connexe
Un minimum de 5 années d’expérience en analyse / science des données visant à faire un impact sur les affaires
Solide compréhension des techniques de modélisation avancées telles que l’apprentissage machine, les techniques non paramétriques et les réseaux neutres
Excellentes compétences de programmation avec SQL, Python et logiciels statistiques (ex. R, SAS)
Expérience avec les technologies de manipulation des données et connaissance des langages de programmation
Vaste expérience en résolution de problèmes analytiques avec approches quantitatives
Expérience avec Spark ou langages similaires, un atout
Expérience e-commerce, un atout
Expérience avec les modèles économétriques, un atout
Compréhension de l’analytique Web, un atout

COMPÉTENCES

Solides aptitudes analytiques et soucieux du détail
Capacité à synthétiser, simplifier et présenter de l’information complexe aux parties prenantes techniques et d’affaires à tous les niveaux de l’entreprise
Capacité à concevoir et présenter des ensembles de données complexes dans une variété de formats visuellement attrayants
Habileté à réussir dans un environnement orienté sur la performance et au rythme rapide
Esprit d’équipe et fortes compétences relationnelles",4.1,"Ssense Presents Limited
4.1",Montreal,-1,501 to 1000 Employees,2003,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1,0,0,58,90,74.0,"Ssense Presents Limited
",Montreal,0,17,1,0,1,1,0
Sr. Big Data Engineer(Python),CA$58k-CA$90k (Glassdoor Est.),"About Altran: *
Altran is the undisputed world leader in engineering and R&D services. Altran offers its clients a unique value proposition to meet their transformation and innovation challenges. Altran supports its clients, from concept to industrialization, to develop the products and services of tomorrow and has been working for more than 35 years with major players in many sectors: Automotive, Aeronautics, Space, Defence & Naval, Rail, Infrastructure & Transport, Industry & Consumer Products, Life Sciences, Communications, Semiconductor & Electronics, Software & Internet, Finance & Public Sector. Today, Altran counts more than 50,000 employees and operates in over 30 countries.
MAIN TASKS AND RESPONSIBILITIES*
Obtains tasks from the project lead or Team Lead (TL), prepares functional and design specifications, approves them with all stakeholders.
Ensures that assigned area/areas are delivered within set deadlines and required quality objectives.
Provides estimations, agrees task duration with the manager and contributes to project plan of assigned area.
Analyzes scope of alternative solutions and makes decision about area implementation based on his/her experience and technical expertise.
Leads functional and architectural design of assigned areas. Makes sure design decisions on the project meet architectural and design requirements.
Addresses area-level risks, provides and implements mitigation plan.
Reports about area readiness/quality, and raises red flags in crisis situations which are beyond his/her AOR.
Responsible for resolving crisis situations within his/her AOR.
Initiates and conducts code reviews, creates code standards, conventions and guidelines.
Suggests technical and functional improvements to add value to the product;
Constantly improves his/her professional level.
Supervises and coaches newcomers and more junior team members.
Collaborates with other teams.
If required, make yourselves available for the visits to the client location.
REQUIRED **EDUCATION AND EXPERIENCE *
Must have: *
· University degree in Computer Related Sciences or similar

· 5+ years of commercial development experience including Python
2+ years experience in one or more open-source Big Data technologies (Hadoop, Spark, Hive, Presto)
ETL or Pipeline design/implementation with Large Distributed Databases
Experience with big data workflow orchestration engines for ETL jobs, such as Airflow
Knowledge of container and orchestration frameworks such as Docker and Kubernetes
Rigor in high code quality, automated testing, and other engineering best practices
Strong OOP skills
Strong communication, collaboration and interpersonal skills
Result oriented approach
Good English (oral & written) and communication skills in general
Disclaimer: * Altran provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law.
Job Type: Full-time

Experience:
Hadoop Ecosystem: 3 years (Required)
Python : 3 years (Required)",3.6,"Altrad Group
3.6",Vancouver,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,58,90,74.0,"Altrad Group
",Vancouver,0,-1,1,0,1,0,0
Product Data Scientist,CA$58k-CA$90k (Glassdoor Est.),"Coffee Meets Bagel
Coffee Meets Bagel's mission is to give everyone a chance at love. The app curates quality matches with fuller profiles that result in real conversations. Globally, CMB has generated millions of real dates and thousands of lasting relationships. Coffee Meets Bagel was named one of the Top 10 Dating apps by Time Magazine and the Best Dating App for Women by Refinery29. It has also been voted the #1 recommended dating app for singles looking for relationships.

Job description
Each day, our users visit our app with the hope of connecting with someone. These interactions generate millions of data points that can be used to help us better understand our customers’ experiences. We need you to ask and answer the questions that will transform this data into a better understanding of what our customers find delightful and what they find painful so that you can help drive changes that further our vision of helping singles form meaningful connections with other amazing singles!

The Product Data Scientist will be responsible for partnering with our product and growth teams to provide the facts needed to make better decisions and to help push our products and services to better serve our customers. You will be responsible for building a strong understanding of our ecosystem, working with the product team to determine which projects are the most important, and being willing to use the right tool (a scripted model, a dashboard, a presentation) to find and explain relevant information and insight that will help the company operate better.


Responsibilities
Work cross-functionally with product, design, finance, and engineering teams to provide data-driven insights that will help define the product & marketing roadmap and drive significant increase in core business KPIs (growth, revenue, engagement).
Create internal dashboards to monitor the health of the product and business KPIs (growth, revenue, engagement).
Deliver ad-hoc analyses and reports to support business needs, investigate, triage and resolve metrics-based issues without heavy guidance.
Assist in feature development from ideation to execution, including helping with user research, determining the best way to test new product features, and running deep analysis of feature performance post launch.
Create and share compelling presentations that motivates and inspires the team to build with conviction.
When necessary, build models in R, Python, or other systems that help us better measure and understand the results of experiments or user flows.
Qualifications
Bachelors in a quantitative field and 3+ years post-collegiate work experience as an analyst or data scientist; or a Masters/PhD in a quantitative field with 1+ years relevant experience.
Experience applying statistics to rigorously analyze data and derive insights to solve ambiguous problems.
Expertise designing and evaluating randomized controlled experiments. Familiarity with quasi-experiments is a plus.
High proficiency in SQL & business intelligence tools (e.g., Mode, Tableau, etc).
Capable of condensing data and telling a persuasive story to technical and non-technical audiences.
Self-starter, with ability to thrive in a dynamic, fast-paced environment, drive change through influence, and collaborate effectively with a variety of cross-functional stakeholders. Excited and hungry to try new tools and processes to achieve results.
Passionate about building delightful products for our customers.
Competency in R, Python, or another scripting language is a plus.

This role is only for candidates in Ontario, Canada .",4.5,"Coffee Meets Bagel
4.5",Toronto,-1,51 to 200 Employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,0,0,58,90,74.0,"Coffee Meets Bagel
",Toronto,0,8,1,0,0,0,0
Data Scientist,CA$58k-CA$90k (Glassdoor Est.),"About Assurance
At Assurance we are disrupting the antiquated and inefficient world of insurance and financial services. Our team of world class software engineers, data scientists, and business professionals are modernizing how people obtain and manage their financial life all through our powerful platform ecosystem. We are rapidly growing as we expand our product offerings and global footprint, and this growth continues to present new and exciting challenges as we push our industry into its future. We eliminate waste throughout the industry and calculate the complex into simple, valuable solutions to improve people's lives. We are humble, driven, and committed to improving the lives of millions.

About the Position
As we build the future of consumer insurance in a modern age, data is at the core of everything that we do. The role requires team members who are adept at using large data sets to find opportunities for optimization and can leverage appropriate models to test the effectiveness of different courses of action. Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations. Team members must be very comfortable writing production-ready code to include testing and maintenance infrastructure, and able to put models and analysis into production with no support from engineering (we own our stack end to end). At Assurance, we hire experts in their field, and we give them the independence and trust to build based on their expertise.

About You
You have a proven ability to drive business results with data-based insights and are comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. You’re capable of getting data for analysis on your own, without reliance on engineering, and you can build professional dashboards as standalone software products and tools. We’re growing at a rapid pace, so it’s important that you embrace the opportunity to blaze your own trail. You thrive in a fast-paced environment where priorities can shift rapidly as we corner opportunity. You can work independently, with little oversight or guidance.
To be successful in this role, you must possess the following:
Proficiency in either Python or R, and expertise in SQL.
Experience working with AWS or another cloud-based computing platform.
Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.
Experience with BI tools like Tableau or Looker (preferred), or any other industry tool such Qlik, PowerBI, Spotfire, etc.
Excellent communication ability – you can explain your work in a way that anyone on the team can understand, and you can frame problems in a way that ensures the right question is being asked.
Business Acumen – you are always eager to understand how the business works, and more specifically, how your work impacts the business.
Enthusiastic yet humble – you are excited about the work you do, but you are also humble enough to embrace feedback – you don’t need to be the smartest person in the room.
Bachelors degree in mathematics, statistics, data science or related field of study.
The following additional experience is desired:
Experience retraining a model within a few days or update a model within one day.
Capable of performing an in-depth analysis and summarizing findings in one day.
Comfortable having conversations with our executive team and non-technical team members to distill down their needs and to deliver actionable insights.



Please review our CCPA policies here.",3.4,"ASSURANCE IQ, Inc.
3.4",Toronto,-1,51 to 200 Employees,2016,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,58,90,74.0,"ASSURANCE IQ, Inc.
",Toronto,0,4,1,0,0,1,1
Data Scientist,CA$58k-CA$90k (Glassdoor Est.),"Child and Family Programs is committed to evidence based innovation in order to promote the safety and well-being of children while effectively supporting Saskatchewan families. In order to further this agenda, we are looking for a data scientist who combines a passion for data analytics with a keen interest in the child welfare system. We are looking for an individual who works well independently, as well as part of a team. In this role, you will act as a lead data specialist and expert within the division, assisting with the delivery of operational reports and analytics including data modelling, scripting, data set creation and preparation, documentation, creation of reports and dashboards.

Reporting to the Manager of Reporting and Data Analytics, the successful candidate will:
Possess advanced knowledge of database concepts, architecture, theories and data warehousing principles;
Possess in-depth knowledge of Statistics, Mathematics, and/or Computer Science;
Demonstrate proficiency and experience in creating, translating and modifying SQL queries (Oracle and DB2) of various levels of complexity to extract large data sets from data warehouses or information systems;
Demonstrate experience and proficiency in the data modelling through Cognos Framework Manager, Power BI, and/or Excel;
Possess previous experience utilizing Cognos reporting packages and data modules to create complex queries and datasets that are used for reporting and analytics;
Demonstrate proficiency and experience in performing data cleansing, transformation, integration and aggregation using scripting in Python and/or R to create complex data sets that are used for data analytics;
Demonstrate the ability to independently interpret, comprehend, and apply technical instructions and reporting requirements to successfully develop high quality and production ready reports and dashboards using BI applications such as Cognos and Power BI or Tableau;
Demonstrate the ability to summarize and present information to technical and non-technical individuals and/or groups in a clear, accurate and understandable manner so as to facilitate collaboration, understanding, training and problem solving;
Demonstrate expertise in creating data stories through the use of high quality visuals so as to capture interest and enhance decision making; and,
Demonstrated expertise in creating automated business intelligence solutions that help in exploring data to discover insights, patterns and trends using appropriate context.
Knowledge of LINKIN case management system or IBM software solutions would be considered an asset.

Typically, our ideal candidate will have the ability to multi-task balancing multiple priorities and can adapt to a changing business and technological environment. You will have a unique skillset, and are highly creative and efficient. The successful candidate would have gained the knowledge and skills required for this position through the completion of a degree in Computer Science, Information Technology, Information Systems, Mathematics, or a related discipline, supplemented by several years of increasing responsibility and experience within an organizational environment especially in Analytics, Business Intelligence, Data Warehousing and Reporting.

Candidates must demonstrate in their cover letter or resume how or where they have gained the knowledge and skills required for this position. Screening of applications will be based on information provided.",4.1,"Government of Saskatchewan, Canada
4.1",Regina,-1,10000+ Employees,1905,Government,Federal Agencies,Government,$1 to $5 million (USD),-1,0,0,58,90,74.0,"Government of Saskatchewan, Canada
",Regina,0,115,1,0,0,1,0
Data Scientist,CA$58k-CA$90k (Glassdoor Est.),"ABOUT MOBSQUAD

We are a well-funded, hyper-growth, scale-up looking for an experienced Data Scientist. If you've ever dreamed of working with a top tier technology company scale-up, on leading edge technologies, backed by the very best venture capitalists in the world, then this is your chance.

Some details about MobSquad:
MobSquad solves the significant and growing technology talent shortage faced by US-based start-ups and scale-ups by enabling our clients to quickly have a turnkey ""virtual"" Canadian subsidiary, where Canadian-based software engineers serve our clients individually on an exclusive basis
We've been featured on the front page of The Washington Post , on NPR multiple times, The Financial Times (UK), The Globe and Mail, the Calgary Herald, BetaKit, CBC, Global News, and many other places. other media outlets
We're a Certified B Corporation, were recognized as the third Best Place to Work in Canada in 2020, and have made numerous contributions to charitable organizations as well as a financial commitment to the Upside Foundation. We believe we are playing a key role in enhancing Canada's innovation economy, and have received financial support from the Government of Canada, Province of Alberta, Province of Nova Scotia, and City of Calgary, to support this ambition
You can learn more about us on our website

ABOUT THE ROLE

As a Data Scientist, you will be part of a Canada-based team working remotely for a leading US start-up. Your team will operate alongside many other talented developers and data scientists in Canada, and you will be an integral part of the tech community that MobSquad has built.

This role requires someone who has demonstrated an ability to bridge the gap between the theoretical and the practical. The ideal candidate has deployed or attempted to execute Artificial Intelligence theories from various Machine Learning (ML) models and algorithms, and also has some experience in data engineering. MobSquad is looking for proven researchers with a track record of publishing in impactful journals and conferences, or those with years of hands-on industry experience.

This role offers the opportunity to apply your knowledge of statistics and your analytical skills to mine data at scale and develop large-scale ML models to reveal the value in data. You will support feature prototyping and utilize best practices to write production-grade code. You will build data pipelines, implement ML-based analytical algorithms, and work closely with the software development team to set up back-end systems and interfaces that will deliver next-generation analytics.

ABOUT YOU

You have an advanced degree (M.S. or PhD) in Data Science, Computer Science, Engineering, or a comparable analytical field from an accredited institution
You are expert in data mining, machine learning, deep learning, statistical modeling, and data visualization techniques using data-oriented tools and languages such as Python, R, and MATLAB
You have over three years of experience or demonstrated fluency in relevant programming languages (Python, R, Scala, Java, C/C++, C#)
You have over three years of experience working with SQL (MySQL, SQL Server) as well as NoSQL (Cassandra, Hbase) databases
You have experience setting up and using large-scale distributed data-processing frameworks such as Apache Spark and Hadoop MapReduce
You have experience working with enterprise-grade cloud computing platforms such as Microsoft Azure, Amazon Web Services, or Google Cloud
You have demonstrated ability to develop high-quality code adhering to industry best practices (e.g., code review, unit testing, revision control)
You are familiar with designing experiments and collecting data for the purpose of deriving data analytics insights and solutions
You have experiencing creating and deploying recommendation and/or predictive models
You have work/project history reflective of a self-motivated professional who excels when given open-ended problems and broadly-defined goals, having an innate desire to discover the patterns and relationships in data that can be leveraged to provide business value

WHAT YOU'LL GET @MOBSQUAD

A full-time position that offers competitive compensation
A benefits program delivered through our bespoke digital platform, giving you control, choice, and flexibility. We give you the ability to build your package of benefits covering health (e.g., medical, dental, vision), wellness (e.g., gym, workout gear, massage, transit), and RRSP (retirement savings)
A downtown office location with first-rate amenities, surrounded by great restaurants and easily-accessible transit
For international candidates, sponsorship for an immediate work permit, expedited permanent residency, and Canadian citizenship within four years

At MobSquad, we support and encourage building a work environment that is diverse, inclusive, and safe for all. We invite and welcome applicants of all backgrounds, regardless of race, religion, sexual orientation, gender identity, national origin, or disability.",4.4,"MobSquad
4.4",Calgary,-1,1 to 50 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,58,90,74.0,"MobSquad
",Calgary,0,-1,1,0,1,1,0
Data Scientist - QuantumBlack,CA$58k-CA$90k (Glassdoor Est.),"You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally.

You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.

Role responsibilities
Work on complex and extremely varied data sets from some of the world’s largest organisations to solve real world problems
Develop data science products and solutions for clients as well as for our data science team
Write highly optimized code to advance our internal Data Science Toolbox
Work in a multi-disciplinary environment with specialists in machine learning, engineering and design
Add real-world impact to your academic expertise, as you are encouraged to write ‘black’ papers and present at meetings and conferences should you wish
Attend conferences such as NIPS and ICML as one global team as well as Data Science retrospectives where you will have the opportunity to share and learn from your co-workers.
Work within one of the largest and most advanced data science teams in London, support the Lead Data Scientists to develop data science products
What you’ll learn
How successful projections on real world problems across a variety of industries are completed through referencing past deliveries of end to end machine learning pipelines
Build products alongside the Core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations
Be able to focus on modelling by working alongside the Data Engineering team which focuses on the wrangling, clean-up and transformation of data.
Best practices in software development and productionise machine learning by working with our Machine Learning Engineering teams which optimise code for model development and scale it
Work with our UX and Visual Design teams to interpret your complex models into stunning and user-focused visualisations
Using new technologies and problem-solving skills in a multicultural and creative environment
You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.
Real-World Impact– No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.
Fusing Tech & Leadership– We work with the latest technologies and methodologies and offer first class learning programmes at all levels.
Multidisciplinary Teamwork- Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.
Innovative Work Culture– Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.
Striving for Diversity– With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.
Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:
Healthcare Efficiency– We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.
Environmental Impact– We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.
Product Development– We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.
Please submit your CV in English

Visit our Careers site to watch our video and read about our interview processes and benefits

As an equal opportunity employer, QuantumBlack encourages applications from all backgrounds regardless of gender, race, disability, pregnancy, marital status, age, sexual orientation, gender reassignment, religion or belief. We maintain a sense of community rooted in respect and consideration for all employees where any evaluation is based simply upon individual work and team performance.",4.4,"McKinsey & Company, Inc.
4.4",Montreal,-1,10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,0,0,58,90,74.0,"McKinsey & Company, Inc.
",Montreal,0,94,0,0,0,1,0
Data Scientist.,CA$58k-CA$90k (Glassdoor Est.),"Job Description
Status: Permanent – Full-time
Location: Montréal – Griffintown

At Brainfinance, we pride ourselves in offering the highest possible quality of customer experience. We are looking for a person who thrives in a team environment, who is passionate, driven and who yearns to grow personally and professionally. This person will become part of a team that thrives on the new challenges presented by a fast-paced and constantly evolving environment. The chosen candidate will possess a keen eye for detail and will come up with innovative ideas that will contribute to the success of both the company and the customer experience.

As a Data Scientist, you will be working with teammates who are passionate, helpful, and strive to get the best out of Big Data .

Responsibilities
Participating in daily and bi-weekly scrum activities (Daily scrum, sprint planning, sprint review, and sprint retrospective).
Working with Business Analysts and Business Units to understand the business and requirements.
Working with DevOps Engineers and Software Engineers (Mobile and Web) to integrate Big Data Science solutions.
Developing data analysis and science solutions with Python.
Leveraging NumPy, SciPy, Pandas, MLlib, Scikit-Learn, NLTK, Scrapy, and Keras.
Utilizing Apache Spark, Apache Kafka, and Apache Cassandra to develop scalable real-time and data-driven applications
Advantages
A cutting edge technology stack: https://stackshare.io/brainfinance/
Competitive salary.
Fun and relaxed work environment.
Full health benefits - Medical.
Free healthy snacks and refreshments.
Advancement opportunities.
Great office location.
Providing opportunities to attend trainings and conferences
Requirements
A bachelor degree in software engineering or related fields ( A Ph.D. degree is a plus ).
Software engineers experienced with Python programming language.
3+ years of experience with Python Machine Learning and Optimization.
2+ years of experience with Apache Cassandra.
2+ years of experience with Apache Spark.
Familiarity with Apache Kafka and Apache Mesos.
Familiarity with Deep Learning libraries such as TensorFlow or Theano or CNTK.
Experience with GIT and Continuous Integration.
Being open to learn and explore new technologies.
Experience working in an agile environment (preferably, Scrum).",5.0,"Brain Finance Lab
5.0",Montreal,-1,51 to 200 Employees,-1,Private Practice / Firm,-1,-1,Less than $1 million (USD),-1,0,0,58,90,74.0,"Brain Finance Lab
",Montreal,0,-1,1,0,1,0,0
Data Scientist Intern,CA$58k-CA$90k (Glassdoor Est.),"Guavus, a Thales company, is seeking a Data Scientist Intern. This is an exciting, technical role based in our Montreal office. It is focused on enabling our customers to create real, practical value through advanced analytics on their streaming data. Our customers – primarily large telecom service providers – use Guavus’ analytics to increase revenues or reduce costs by better network optimization, customer experience optimization, churn management, marketing, etc.

We offer 4 months internship with a possibility to extend to 8 months. We have full time position available for interns that stand out after the end of their internship & classes.

About Guavus

Guavus solves the world’s most complex data problems. Proven across Tier 1 service providers, Guavus provides a new generation of analytically powered big data applications to address specific business problems for next-generation service assurance, next-generation customer experience management and the Internet of Things. The Company uniquely breaksdown the barriers between Operational Support Systems and Business Support Systems to enable customers to deliver a better customer experience, improve service operations and more efficiently plan network capacity. Guavus’ operational intelligence applications correlate and analyze massive amounts of streaming and stored business, operational and sensor data from multiple, disparate source systems in real time. Guavus’ products currently process more than two trillion transactions per day.

Skills & Qualifications:
Bachelor’s or master’s degree in an Engineering or Science field with coursework in Linear Algebra and Statistics
Analytical skills – ability to quickly analyze data to identify and visualize key insights – as evidenced by coursework or research requiring the analysis of large datasets applying machine learning (regression, clustering, decision trees, neural networks, etc.)
Algorithmic understanding of standard machine learning methods
Good understanding of CS fundamentals such as data structures and algorithms, functional programming, cluster computing, etc. and the ability to quickly translate ideas to efficient, elegant code
Working knowledge of at least one program: Java, Scala, Python
Experience in high volume data scenarios and hands on knowledge of distributed systems such as Hadoop and Spark will be a big plus
Excellent oral and written communication skills, including the ability to present effectively to both business and technical audiences
Excellent attention to detail, organizational and time-management skills

Roles & Responsibilities:
Implement ETL & machine learning algorithms and benchmark their performances
Perform data validation exercises, tracing data from source to applications to confirm
implementation designs
Analyze data and present insights
Document data analysis work and results",2.8,"Guavus Inc.
2.8",Montreal,-1,201 to 500 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,0,58,90,74.0,"Guavus Inc.
",Montreal,0,14,1,0,1,1,0
